Run,Batch,Steps,Total_Time_s,Latency_s_per_img,Throughput_img_s,Peak_Mem_GB
1,10,10,470.389 ,0.470 ,2.126 ,7.025 
1,20,10,480.772 ,0.481 ,2.080 ,12.030 
1,30,10,480.433 ,0.480 ,2.081 ,17.035 
1,40,10,476.350 ,0.476 ,2.099 ,20.543 
1,50,10,481.243 ,0.481 ,2.078 ,23.923 
1,60,10,480.067 ,0.480 ,2.083 ,28.302 
1,70,10,473.844 ,0.474 ,2.110 ,34.123 
1,80,10,488.982 ,0.489 ,2.045 ,37.566 
1,90,10,486.581 ,0.487 ,2.055 ,38.195 
1,100,10,OOM,OOM,OOM,OOM
1,10,20,848.983 ,0.849 ,1.178 ,7.025 
1,20,20,874.218 ,0.874 ,1.144 ,12.030 
1,30,20,881.809 ,0.882 ,1.134 ,17.035 
1,40,20,858.632 ,0.859 ,1.165 ,20.542 
1,50,20,865.142 ,0.865 ,1.156 ,23.923 
1,60,20,859.284 ,0.859 ,1.164 ,28.302 
1,70,20,854.987 ,0.855 ,1.170 ,34.123 
1,80,20,872.777 ,0.873 ,1.146 ,35.064 
1,90,20,870.243 ,0.870 ,1.149 ,38.196 
1,100,20,OOM,OOM,OOM,OOM
1,10,30,1224.794 ,1.225 ,0.816 ,7.025 
1,20,30,1248.342 ,1.248 ,0.801 ,12.030 
1,30,30,1262.252 ,1.262 ,0.792 ,17.035 
1,40,30,1243.395 ,1.243 ,0.804 ,20.542 
1,50,30,1256.047 ,1.256 ,0.796 ,23.923 
1,60,30,1265.012 ,1.265 ,0.791 ,28.302 
1,70,30,1231.028 ,1.231 ,0.812 ,34.123 
1,80,30,1248.455 ,1.248 ,0.801 ,35.065 
1,90,30,1245.704 ,1.246 ,0.803 ,38.195 
1,100,30,OOM,OOM,OOM,OOM
1,10,50,1999.016 ,1.999 ,0.500 ,7.025 
1,20,50,2062.181 ,2.062 ,0.485 ,12.030 
1,30,50,2089.097 ,2.089 ,0.479 ,17.035 
1,40,50,2065.098 ,2.065 ,0.484 ,20.542 
1,50,50,2040.744 ,2.041 ,0.490 ,23.923 
1,60,50,2007.466 ,2.007 ,0.498 ,28.302 
1,70,50,2067.755 ,2.068 ,0.484 ,34.123 
1,80,50,2025.726 ,2.026 ,0.494 ,35.064 
1,90,50,2066.935 ,2.067 ,0.484 ,38.196 
1,100,50,OOM,OOM,OOM,OOM
1,10,75,2984.527 ,2.985 ,0.335 ,7.025 
1,20,75,2971.076 ,2.971 ,0.337 ,12.030 
1,30,75,3003.955 ,3.004 ,0.333 ,17.035 
1,40,75,2985.595 ,2.986 ,0.335 ,20.542 
1,50,75,3085.127 ,3.085 ,0.324 ,23.923 
1,60,75,3049.899 ,3.050 ,0.328 ,28.302 
1,70,75,3013.524 ,3.014 ,0.332 ,31.933 
1,80,75,2984.273 ,2.984 ,0.335 ,35.064 
1,90,75,2974.700 ,2.975 ,0.336 ,38.195 
1,100,75,OOM,OOM,OOM,OOM
1,10,100,3977.246 ,3.977 ,0.251 ,7.025 
1,20,100,3985.109 ,3.985 ,0.251 ,12.030 
1,30,100,4014.108 ,4.014 ,0.249 ,17.035 
1,40,100,3989.253 ,3.989 ,0.251 ,20.543 
1,50,100,4141.792 ,4.142 ,0.241 ,23.923 
1,60,100,3959.431 ,3.959 ,0.253 ,28.302 
1,70,100,3972.304 ,3.972 ,0.252 ,31.933 
1,80,100,4012.544 ,4.013 ,0.249 ,35.064 
1,90,100,4058.691 ,4.059 ,0.246 ,38.195 
1,100,100,OOM,OOM,OOM,OOM
1,10,150,5745.092 ,5.745 ,0.174 ,7.025 
1,20,150,6268.993 ,6.269 ,0.160 ,12.030 
1,30,150,6440.577 ,6.441 ,0.155 ,17.035 
1,40,150,5913.922 ,5.914 ,0.169 ,20.542 
1,50,150,6546.402 ,6.546 ,0.153 ,23.923 
1,60,150,6204.488 ,6.204 ,0.161 ,28.302 
1,70,150,5919.981 ,5.920 ,0.169 ,31.933 
1,80,150,6641.691 ,6.642 ,0.151 ,35.065 
1,90,150,OOM,OOM,OOM,OOM
2,10,10,505.060 ,0.505 ,1.980 ,7.025 
2,20,10,472.576 ,0.473 ,2.116 ,12.030 
2,30,10,477.318 ,0.477 ,2.095 ,17.035 
2,40,10,473.577 ,0.474 ,2.112 ,20.543 
2,50,10,477.199 ,0.477 ,2.096 ,23.923 
2,60,10,471.752 ,0.472 ,2.120 ,28.302 
2,70,10,480.293 ,0.480 ,2.082 ,31.933 
2,80,10,480.999 ,0.481 ,2.079 ,35.064 
2,90,10,OOM,OOM,OOM,OOM
2,10,20,842.369 ,0.842 ,1.187 ,7.025 
2,20,20,858.701 ,0.859 ,1.165 ,12.030 
2,30,20,870.325 ,0.870 ,1.149 ,17.035 
2,40,20,862.601 ,0.863 ,1.159 ,20.542 
2,50,20,870.714 ,0.871 ,1.148 ,23.923 
2,60,20,859.697 ,0.860 ,1.163 ,28.302 
2,70,20,853.778 ,0.854 ,1.171 ,31.934 
2,80,20,848.901 ,0.849 ,1.178 ,35.064 
2,90,20,OOM,OOM,OOM,OOM
2,10,30,1198.703 ,1.199 ,0.834 ,7.025 
2,20,30,1214.917 ,1.215 ,0.823 ,12.030 
2,30,30,1232.366 ,1.232 ,0.811 ,17.035 
2,40,30,1222.210 ,1.222 ,0.818 ,20.542 
2,50,30,1230.167 ,1.230 ,0.813 ,23.923 
2,60,30,1215.427 ,1.215 ,0.823 ,28.302 
2,70,30,1224.434 ,1.224 ,0.817 ,31.933 
2,80,30,1227.075 ,1.227 ,0.815 ,35.065 
2,90,30,OOM,OOM,OOM,OOM
2,10,50,1944.206 ,1.944 ,0.514 ,7.025 
2,20,50,1970.134 ,1.970 ,0.508 ,12.030 
2,30,50,1999.663 ,2.000 ,0.500 ,17.035 
2,40,50,1984.799 ,1.985 ,0.504 ,20.542 
2,50,50,1997.037 ,1.997 ,0.501 ,23.923 
2,60,50,1970.598 ,1.971 ,0.507 ,28.302 
2,70,50,1980.293 ,1.980 ,0.505 ,31.933 
2,80,50,1984.555 ,1.985 ,0.504 ,35.064 
2,90,50,OOM,OOM,OOM,OOM
2,10,75,2874.176 ,2.874 ,0.348 ,7.025 
2,20,75,2915.385 ,2.915 ,0.343 ,12.030 
2,30,75,2958.684 ,2.959 ,0.338 ,17.035 
2,40,75,2954.121 ,2.954 ,0.339 ,20.542 
2,50,75,2964.518 ,2.965 ,0.337 ,23.923 
2,60,75,2918.014 ,2.918 ,0.343 ,28.302 
2,70,75,2922.992 ,2.923 ,0.342 ,31.933 
2,80,75,2929.364 ,2.929 ,0.341 ,35.064 
2,90,75,OOM,OOM,OOM,OOM
2,10,100,3801.480 ,3.801 ,0.263 ,7.025 
2,20,100,3857.016 ,3.857 ,0.259 ,12.030 
2,30,100,3914.065 ,3.914 ,0.255 ,17.035 
2,40,100,3884.376 ,3.884 ,0.257 ,20.543 
